player,team,kills,deaths,assists,damageDealt,damageBlocked,healingDone,accuracy,characterPlayed,winningTeam,timePlayed,map
ShadowStrike,G2,31,25,18,39622,26955,34379,94%,Mister Fantastic,G2,May 12 2025 0846 PM,Midtown
LunaByte,G2,36,39,43,15142,13468,9456,74%,Venom
Sn1p3rWolf,G2,11,9,10,10620,24099,8521,96%,Loki
PixelQueen,G2,47,50,21,8620,12942,26253,32%,Moon Knight
BlitzRider,G2,7,29,28,42772,4449,35243,62%,Loki
CodeMyst,G2,17,19,42,18540,18321,35874,31%,Ultron
RogueNova,Team Liquid,23,35,3,15894,6725,13762,45%,Black Widow
NightBloom,Team Liquid,42,45,1,37416,5152,34937,70%,Mantis
TwitchReign,Team Liquid,26,30,19,15488,16497,7169,61%,Iron Fist
StormHex,Team Liquid,29,6,19,28080,9761,35645,57%,Magik
PhantomBlaze,Team Liquid,41,24,32,19997,29829,24881,43%,Human Torch
ByteSlinger,Team Liquid,20,44,6,33406,28218,28250,80%,Cloak & Dagger
